Date,Clutch,Indiv,Age,R-R2,RampDiff,L-R2,LampDiff,Average,IMG #,YV90apart,Mel half yolk,YV enter heart center,Cornea lift,YV enter dextral,Parallel eyes,Beaks ker,Stage
20140619,C8,T1,4,0.954877097,28.7637509,0.942680364,39.06298966,33.91337028,1769,1,1,1,1,1,1,0,6
20140620,C8,T2,5,0.956807807,47.3497386,0.968142641,46.83344137,47.09158998,1833,1,1,1,1,1,1,1,7
20140621,C8,T3,6,0.949374824,34.81520745,0.921870098,32.69018075,33.7526941,2003,1,1,1,1,1,1,1,7
20140619,C9,T1,4,0.863962123,24.58882697,0.800840879,22.14518725,23.36700711,1799,1,1,1,1,1,1,0,6
20140620,C9,T4,5,0.929267821,30.41982705,0.957703675,38.67900477,34.54941591,1891,1,1,1,1,1,1,1,7
20140621,C9,T5,6,0.982938971,36.75161129,0.967071188,32.36978408,34.56069768,2018,1,1,1,1,1,1,1,7
20140622,C9,T6,7,0.937256343,27.14747139,0.938440269,31.67720152,29.41233646,2185,1,1,1,1,1,1,1,7
20140620,C10,T1,4,0.943305036,41.04047399,0.870672675,41.79452652,41.41750026,1949,1,1,1,1,1,1,0,6
20140621,C10,T2,5,0.950479771,31.44870886,0.957945518,33.59070874,32.5197088,2052,1,1,1,1,1,1,1,7
20140620,C11,T1,4,0.885748838,32.29263973,0.89878768,36.41987883,34.35625928,1966,1,1,1,1,1,0,0,5
20140621,C11,T2,5,0.841427899,27.71102557,0.929268885,36.69552619,32.20327588,2092,1,1,1,1,1,1,1,7
20140622,C11,T3,6,0.955913172,37.78705907,0.939484457,36.41296674,37.1000129,2214,1,1,1,1,1,1,1,7
20140620,C12,T1,3,0.413648529,7.575501598,-0.060990875,5.952128645,6.763815121,1986,1,1,0,0,0,0,0,2
20140621,C12,T2,4,0.937857036,45.85701898,0.927508664,44.35795559,45.10748728,2113,1,1,1,1,1,1,0,6
20140622,C12,T3,5,0.959377696,36.00828095,0.945836038,36.60208107,36.30518101,2237,1,1,1,1,1,1,1,7
20140621,C13,T1,4,0.897289928,20.27430696,0.950454068,29.05737832,24.66584264,2134,1,1,1,1,1,1,0,6
20140623,C13,T4,6,0.945527336,32.77042212,0.981184179,36.73295495,34.75168854,2401,1,1,1,1,1,1,1,7
20140621,C14,T1,3,0.185031192,5.088925304,0.162981048,6.451949601,5.770437452,2151,1,1,1,0,0,0,0,3
20140622,C14,T2,4,0.965725548,35.08781798,0.969652941,35.44777913,35.26779855,2323,1,1,1,1,1,0,0,5
20140623,C14,T3,5,0.952968123,37.03797438,0.968373914,35.46957812,36.25377625,2520,1,1,1,1,1,1,1,7
20140622,C15,T2,4,0.886855179,13.45837699,0.709977462,12.37951118,12.91894408,2350,1,1,1,1,1,1,0,6
20140623,C15,T3,5,0.978458272,31.40882942,0.950920187,34.74185142,33.07534042,2570,1,1,1,1,1,1,1,7
20140624,C15,T4,6,0.925360919,25.00815445,0.932801374,24.11257789,24.56036617,2659,1,1,1,1,1,1,1,7
20140625,C15,T5,7,0.939972616,32.69866532,0.923596181,34.9231684,33.81091686,2845,1,1,1,1,1,1,1,7
20140622,C16,T1,3,0.107763754,1.79346701,0.403296167,5.710825184,3.752146097,2375,1,1,1,0,0,0,0,3
20140623,C16,T2,4,0.977475649,49.83340041,0.963672669,50.12796892,49.98068466,2603,1,1,1,1,1,1,0,6
20140624,C16,T3,5,NA,24.96950061,NA,28.73492175,26.85221118,2375,1,1,1,0,0,0,0,3
20140625,C16,T4,6,NA,20.74028954,NA,29.26018326,25.0002364,2603,1,1,1,1,1,1,0,6
20140623,C17,T1,6,0.912219566,36.20848623,0.960402324,39.15661696,37.68255159,2428,1,1,1,1,1,1,1,7
20140623,C19,T1,6,0.96895347,35.69375976,0.975526364,40.01042996,37.85209486,2491,1,1,1,1,1,1,1,7
20140623,C20,T1,3,0.270509411,4.199537288,-0.138953763,2.604288577,3.401912932,2634,1,1,1,0,0,0,0,3
20140624,C20,T2,4,NA,28.71776394,NA,27.33934602,28.02855498,2742,1,1,1,1,1,1,0,6
20140625,C20,T4,5,NA,37.51164286,NA,39.53728031,38.52446159,2998,1,1,1,1,1,1,1,7
20140625,C20,T2,6,NA,28.71776394,NA,27.33934602,28.02855498,3094,1,1,1,1,1,1,1,7
20140624,C22,T1,3,NA,5.872701679,NA,10.33712352,8.1049126,2766,1,1,0,0,0,0,0,2
20140624,C23,T1,3,NA,3.570698023,NA,1.521892809,2.546295416,2786,1,1,0,0,0,0,0,2
