Date,Time,Age,Clutch,Test,Nontest,setupH,playbackH,tactileH,hypoxiaH,PropH,SUM of trait values,Indiv,Hcontext,HorNH,AmpR,Rsq,AmpL,Rsq,AverageR2,AverageAmp,Notes,outlier
20150626,9:51AM,,59,29,2,0,24,0,5,0.827586207,6,1,1,1,29.92254816,0.867771699,26.42510127,0.9096408,0.888706249,13.65690376,false start,
,,,,,,,,,,0.827586207,7,2,1,1,19.15448565,0.876976685,21.77922768,0.769605706,0.823291196,11.30125944,,
,,,,,,,,,,0.827586207,7,3,3,0,33.6501025,0.948372167,35.80188035,0.944202667,0.946287417,18.37408388,,
,,,,,,,,,,0.827586207,6,4,1,1,43.57139228,0.965380819,32.74188445,0.842648268,0.904014544,16.8229495,,
,,,,,,,,,,0.827586207,6,5,3,0,35.40263795,0.907676272,24.49220741,0.781662203,0.844669237,12.66843832,,
,,,,,,,,,,0.827586207,7,6,3,0,37.56548158,0.958311056,36.96845475,0.940536123,0.94942359,18.95893917,,
20150626,10:54AM,,60,27,1,0,21,5,2,0.777777778,6,1,1,1,26.96650187,0.929059463,31.61587851,0.946772515,0.937915989,16.27689725,,
,,,,,,,,,,0.777777778,7,2,3,0,30.04439988,0.960098421,24.33267499,0.936430969,0.948264695,12.64046984,,
,,,,,,,,,,0.777777778,7,3,1,1,29.17387623,0.932522756,17.48229985,0.82212837,0.877325563,9.179812705,,
,,,,,,,,,,0.777777778,6,4,3,0,29.08979723,0.929158403,27.28582139,0.913825728,0.921492066,14.10365673,,
,,,,,,,,,,0.777777778,7,5,1,1,21.97830694,0.827562318,22.62516827,0.847529691,0.837546004,11.73135714,,
,,,,,,,,,,0.777777778,6,6,2,0,27.39332399,0.916804097,26.39947222,0.902035166,0.909419631,13.65444593,,
20150626,1:33PM,,52,35,1,0,23,12,0,0.657142857,7,1,1,1,35.29634251,0.923499581,28.6064637,0.896473138,0.909986359,14.75822503,,
,,,,,,,,,,0.657142857,7,2,1,1,26.67051152,0.889518995,27.40004462,0.967036996,0.928277995,14.16416131,,
,,,,,,,,,,0.657142857,7,3,2,0,22.60457547,0.849619292,28.1932836,0.925072613,0.887345953,14.54031478,,
