Clutch,Time,AverageAmp,Stdev,N,SE,Stage
101,3.75,2.972832383,5.14909673,3,2.972832383,2.333333333
101,4,0,0,3,0,2.666666667
101,4.25,2.857645639,4.949587437,3,2.857645639,3
101,4.5,10.47133556,1.637522129,3,0.945423842,4
101,4.75,29.5518363,10.13717366,3,5.852699939,5.333333333
101,5.75,41.55036194,7.703845655,3,4.447817362,7
101,6.75,33.0874981,NA,1,NA,7
102,3.75,3.716964522,6.437971401,3,3.716964522,2.333333333
102,4,0,0,3,0,3
102,4.25,2.231204729,3.864559952,3,2.231204729,3.333333333
102,4.5,21.6526052,2.034824111,3,1.174806248,6
102,4.75,39.19537544,2.961079933,3,1.709580296,6.666666667
102,5.75,45.81267698,5.903997821,2,4.174756896,7
104,3.75,0,0,3,0,2.333333333
104,4,0,0,3,0,3.666666667
104,4.25,2.461856304,4.264060199,3,2.461856304,4
104,4.5,21.45534912,4.464958412,3,2.577844941,6
104,4.75,35.79353106,3.321722012,3,1.917797098,6
104,5.75,37.02273477,NA,1,NA,7
105,3.75,3.908071775,3.441150819,3,1.986749352,2
105,4,0,0,3,0,2
105,4.25,5.698037636,9.869290689,3,5.698037636,4.666666667
105,4.5,27.72143428,10.33761023,3,5.968422048,6
105,4.75,42.72885393,6.430264606,3,3.712515001,6
105,5.75,40.23087897,2.939599424,3,1.697178519,7
105,6.75,28.0700667,NA,1,NA,7
106,3.75,0,0,3,0,3
106,4,0,0,3,0,3
106,4.25,25.92011873,7.515896656,3,4.339304957,5.666666667
106,4.5,35.80992613,1.266699856,3,0.731329503,6
106,4.75,32.38303663,1.464113633,3,0.8453064,6.666666667
106,5.75,39.06361334,3.496393175,1,3.496393175,7
